bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,price
4,2.25,1991,7712,1,1,1,3,1211,781,1973,2113,627111
4,3,3691,9892,2,1,1,3,3691,1,1998,2116,865111
2,1,2541,7111,1,1,1,5,1321,1221,1942,1,581111
3,2.25,1811,36714,1,1,1,4,1361,441,1978,2111,411111
4,3,2341,7148,1,1,1,4,1341,1111,1979,1,485111
2,1.75,2111,9519,1,1,1,2,2111,1,1948,1,411111
2,1,1141,5411,1,1,1,5,1141,1,1918,1,549111
3,1.75,1481,2185,2.5,1,1,3,1481,1,2115,1,621111
2,3,1411,1241,2,1,1,3,1141,271,2116,1,415111
2,1,1211,8163,1,1,1,4,1211,1,1958,1972,232111
5,2.5,3181,13816,2,1,1,4,3181,1,1991,1,811866
3,1.5,2161,9111,1,1,2,4,1411,761,1949,1985,651111
6,1.75,2921,5111,2.5,1,1,4,2781,141,1918,1,823111
3,2,2351,5711,1.5,1,1,4,1811,541,1939,1989,771111
3,1.75,1561,5521,1,1,1,4,781,781,1944,1,524111
5,2.75,2741,8426,1,1,1,4,1371,1371,1961,2111,541125
3,2.5,1681,2111,3,1,1,3,1681,1,1919,1998,671111
5,2.5,3191,12751,1,1,1,3,1751,1341,1968,1997,384911
3,2.25,1411,1332,3,1,1,3,1411,1,2115,1,416111
5,3.5,4111,8511,2,1,1,5,2851,1161,1971,1,1395111
4,2.5,3181,21914,2,1,3,3,3181,1,2111,1,736511
3,2.25,2111,6111,1,1,1,3,1331,681,1975,1,571111
3,1.75,1331,7511,1,1,1,3,1331,1,1961,2114,787111
4,2.5,2371,6511,2,1,1,3,2371,1,1998,2116,328111
5,2,1841,9241,1,1,1,4,1541,311,1942,1958,435111
4,2.5,2911,6479,2,1,1,3,2911,1,2116,1,499111
4,1,2171,7519,1,1,1,3,1161,911,1963,2118,511111
4,2.5,4341,141571,2.5,1,1,3,4341,1,1992,1,1191111
2,1,841,5511,1,1,1,3,841,1,1955,2115,411111
4,1.5,1241,9611,1,1,1,3,1241,1,1971,1,221111
4,1,1391,4241,1,1,1,3,1151,341,1924,2111,657111
4,2.75,2311,5111,2,1,1,3,2311,1,2116,1,319951
3,2,1151,11172,1,1,1,3,1151,1,1986,1,311111
5,1.75,2551,71874,1,1,1,5,1811,741,1961,1,525888
4,1.75,2111,3611,1.5,1,1,3,2111,1,1912,1,741111
5,1,1121,9122,1.5,1,1,4,1121,1,1962,1,341111
3,2.5,2231,4111,2,1,1,3,2231,1,1954,2115,398751
2,1,811,7158,1,1,1,5,811,1,1944,1,216111
5,2.75,3191,16921,1,1,3,3,1691,1511,1976,1,1131111
3,1.75,1671,39639,1,1,1,4,1671,1,1976,1992,611111
4,1.75,1971,9389,1,1,1,5,1141,831,1961,1,379951
3,1,1451,6111,1,1,1,4,1451,1,1953,1983,287111
7,8,13541,317752,3,1,4,3,9411,4131,1999,1,2281111
3,2.5,1881,7838,2,1,1,3,1881,1,1994,1,319951
3,1.75,1881,6361,1,1,1,4,1141,841,1945,1,611111
3,2,1411,6131,1.5,1,1,4,1411,1,1931,1,418111
4,2,1481,3844,1.5,1,1,5,1481,1,1928,1971,449251
2,1,1141,5251,1.5,1,1,4,1141,1,1949,1985,329951
3,1.75,1921,9316,1,1,1,3,1111,921,1984,1,245111
4,2.5,2911,6338,2,1,1,3,2911,1,2118,1,549111
3,2.5,3241,7857,2,1,1,3,3241,1,1994,1,811111
3,2,1551,15141,1,1,1,4,1551,1,1958,1972,249951
5,2,2151,11211,1,1,1,3,1431,621,1956,2111,211111
2,2.5,2221,4111,2,1,1,3,2221,1,2111,1,1425111
2,1,1771,8641,1.5,1,1,3,1521,251,1949,1998,585111
4,1.75,2311,11711,1,1,1,4,1961,341,1977,1,615111
3,2,1811,5111,1,1,1,4,1181,721,1942,1982,618511
4,1.75,2111,9211,1,1,1,3,1471,541,1977,2114,487585
3,2.5,1791,2711,2,1,1,3,1791,1,2111,1,519911
4,2.5,2441,6651,2,1,1,3,2441,1,2114,1,631625
3,2.5,1941,3211,2,1,1,3,1941,1,2119,1,555111
2,1.5,1161,1438,2,1,1,3,1161,1,2111,1,341111
4,2.5,3411,9692,2,1,1,3,3411,1,2117,1,831111
4,4.25,4421,5751,2,1,1,3,3411,1111,2116,1,891111
3,3,1571,2117,3,1,1,3,1571,1,2118,1,366751
3,2.25,1621,998,2.5,1,1,3,1541,81,2111,1,415111
3,2.5,1418,989,3,1,1,3,1418,1,2115,1,416286
3,2.5,3141,4535,2,1,1,3,3141,1,2117,1,478111
5,3.5,4491,6111,2,1,1,3,3211,1291,2116,1,891111
2,2.5,1591,1426,2,1,1,3,1591,1,2114,1,419191
4,2.5,2451,4247,2,1,1,3,2451,1,2113,1923,712198
4,2,1441,7681,1,1,1,3,1211,241,1971,1,397111
2,2,1111,3111,1.5,1,1,3,1111,1,1912,2115,451111
3,1,1351,7741,1,1,1,4,861,491,1947,1988,353111
4,2.5,2151,37981,2,1,1,3,2151,1,1985,1,619111
3,1.75,1491,8366,1,1,1,4,1111,481,1975,1,234111
3,2,2111,7111,2,1,1,3,2111,1,1916,1986,561111
2,1,1131,4411,1,1,1,3,1131,1,1924,2111,469111
2,1,721,6687,1,1,1,3,721,1,1942,1999,329351
5,2,2121,5111,1.5,1,1,4,2121,1,1938,1,488111
3,1.75,1581,8151,1,1,1,4,1111,481,1962,1,279911
4,2.5,2111,13851,2,1,1,3,2111,1,1987,2111,616111
4,2,1311,7154,1,1,1,3,1311,1,1951,2113,312111
3,1.5,1631,7475,1,1,1,3,1161,471,1941,1996,651111
4,2.75,3371,8113,1,1,3,3,1971,1411,1971,2114,1135111
4,2.5,1891,6156,1,1,1,3,981,911,1981,1,325111
4,2,1521,7983,1,1,1,5,1521,1,1967,1,425111
2,1,911,5161,1,1,1,3,911,1,1952,2118,219111
3,1,1151,6874,1,1,1,3,1151,1,1954,2115,251111
3,1.75,1261,6511,1,1,1,4,1261,1,1966,1,391111
6,3,3471,117612,1.5,1,1,3,3471,1,1924,2111,475111
4,2.5,2291,12147,2,1,1,4,2291,1,1988,1,736111
4,2.25,2811,23411,1,1,1,3,1711,1111,1958,2114,417111
3,2.5,1651,13816,2,1,1,3,1651,1,1998,2116,272111
3,2.25,1641,14374,1,1,1,4,1141,511,1963,1,362111
3,2.5,1851,11119,2,1,1,3,1851,1,1991,1,535111
4,2.5,2111,5391,2,1,1,3,2111,1,2113,1,284111
3,1.5,1411,9647,1,1,1,3,1411,1,1961,2114,367511
4,1.75,1511,11611,1,1,1,4,1111,511,1955,2119,379911
3,2.5,2461,54885,2,1,1,4,2461,1,1981,1,521111
3,1,1111,7134,1,1,1,3,1111,1,1954,2115,175111
2,2.25,1231,929,2,1,1,3,1121,211,2114,2113,461111
4,2.5,2331,3826,2,1,1,3,2331,1,2117,1,345111
5,2.5,2241,7771,1,1,1,3,1341,911,1978,1,455111
4,3,2451,11117,1,1,1,5,1581,871,1967,1,611111
4,3,3111,15481,2,1,1,3,2411,711,1996,1,563111
4,2,2161,5111,1,1,1,3,1131,1131,1949,2113,612511
3,1.75,1851,7684,1,1,1,3,1321,531,1979,2114,218111
4,1.75,1841,11721,1,1,1,3,961,881,1958,2114,414111
4,2,3741,32417,2,1,1,3,3741,1,2111,1,861111
3,1.5,1421,8581,1,1,1,3,1421,1,1962,2113,136511
3,1,1511,6183,1,1,1,4,861,651,1941,2111,313951
3,1.75,2131,6511,1,1,2,3,1171,961,1954,2115,575111
4,2.25,3491,6916,2,1,1,4,2281,1211,1928,1,1225111
3,1.75,1631,11811,1,1,1,4,1631,1,1971,1,281111
3,2.5,1791,7167,2,1,1,3,1791,1,1989,1,515111
4,2.5,2111,5684,2,1,1,3,2111,1,1996,1,513111
4,2.25,2261,29931,2,1,1,4,1411,861,1977,1,599111
4,2.5,3131,7864,2,1,1,3,3131,1,1999,1,685111
3,1.5,1311,8161,1,1,1,3,1311,1,1951,2115,365111
4,2.5,3881,14551,2,1,1,3,3881,1,1987,2111,762311
4,3.25,3761,11921,1.5,1,1,5,2411,1361,1951,1,1581111
5,2.25,3141,8111,2,1,1,3,3141,1,1984,1,562111
5,2.5,2911,9636,1,1,1,4,1691,1221,1964,1,531111
3,2.5,2971,11985,1,1,1,3,1771,1211,1995,1,525111
2,1.75,1661,6111,1,1,1,3,1161,511,1942,1999,484111
4,2.5,3211,12369,2,1,1,3,3211,1,1998,2116,725126
4,2,2681,18768,1,1,1,5,2681,1,1965,1,361111
3,1,1231,9568,1,1,1,5,1231,1,1962,1,387111
4,2.5,2741,45732,2,1,1,3,2741,1,1995,1,483511
4,3.5,3381,8331,2,1,1,3,3381,1,2111,1,655511
3,1,1111,6251,1,1,1,3,1111,1,1956,2111,345111
5,2.75,1811,3781,1.5,1,1,3,1411,411,1926,2113,533111
3,1.75,1911,5521,1,1,1,3,1281,621,1982,1,385111
2,1,931,36478,1,1,2,3,931,1,1951,1994,675111
3,1.75,1691,7735,1,1,1,4,1161,631,1976,1992,197111
3,2,1421,4181,1.5,1,1,3,1421,1,1915,2113,485111
5,4,4511,15175,2,1,1,3,4511,1,1969,2112,1871111
3,2.25,1981,8111,1,1,1,4,1561,421,1974,1,295111
2,1.75,1171,2411,1,1,1,4,741,431,1913,1,499111
3,2.5,2211,1971,2,1,1,3,1611,591,2118,1,1151111
3,1.5,811,8851,1,1,1,4,811,1,1959,1,191111
3,2.5,1481,1171,3,1,1,3,1481,1,2116,1,511111
5,3.75,2891,5111,1,1,1,3,1311,1581,2116,1,391111
3,2.5,2691,4147,3,1,1,3,2691,1,2114,1,979111
4,3.25,3569,8327,2,1,1,3,3569,1,2113,1923,581111
3,2,1271,1321,3,1,1,3,1271,1,2116,1,369951
5,5,4491,11279,2,1,1,3,3931,561,2113,1923,1811111
4,2.5,3141,6425,2,1,1,3,3141,1,2118,1,776111
3,2.25,1171,1249,3,1,1,3,1171,1,2114,1,519951
5,2.25,2161,8632,1,1,1,3,1131,1131,1962,2113,255111
3,1,991,6111,1,1,1,3,991,1,1943,2112,495111
4,2.5,2431,5213,2,1,1,3,2431,1,2113,1,511111
4,4,4461,113382,2,1,1,3,4461,1,2111,1,1151111
3,1.75,1251,11122,1,1,1,3,1251,1,1994,1,253111
3,2.75,1541,6761,1,1,1,5,1211,331,1981,1,513111
3,2.5,1611,7111,2,1,1,4,1611,1,1993,1,275111
3,1,1111,8423,1,1,1,3,1111,1,1952,2118,249111
3,1.75,1841,11723,1,1,1,4,1221,621,1974,1,311111
3,2.75,2521,5411,1,1,1,4,1361,1161,1946,1989,751111
3,2.5,2681,327135,2,1,1,3,2681,1,1995,1,631111
9,4.5,3831,6988,2.5,1,1,3,2451,1381,1938,2113,599999
4,2.75,2411,9549,1,1,1,4,1781,631,1956,1,758111
4,1.75,1721,11118,1,1,1,5,1721,1,1961,1,248511
3,1.75,2171,37914,1,1,1,4,1421,651,1973,1,311111
3,2,1761,9155,2,1,1,4,1761,1,1985,1,461111
3,1.75,1681,11511,1,1,1,4,1681,1,1959,1,675111
2,2,1551,2411,1.5,1,1,4,1551,1,1911,1971,526111
3,3,4121,61392,2,1,2,3,3181,941,1994,1,561111
4,3,1831,9548,2,1,1,3,1831,1,1991,1,415111
3,1,1411,7411,1,1,1,3,1411,1,1944,1,246111
3,1.75,1871,12381,1,1,1,4,1871,1,1957,2111,314511
7,4.5,6211,8856,2.5,1,2,5,4761,1451,1911,1,3211111
2,1.5,1141,3511,1.5,1,1,4,1141,1,1914,1,421111
3,1.75,2721,149411,1.5,1,1,3,2721,1,1988,2111,535111
3,1,1111,9361,1,1,1,3,1111,1,1981,2113,351111
3,1.75,1581,9147,1,1,1,4,1211,371,1967,1,515111
4,2.75,2611,6151,2,1,1,5,1961,641,1949,1,749951
3,2.5,1921,9181,2,1,1,3,1921,1,1988,2111,231111
3,2,2351,5181,1.5,1,1,3,1781,571,1929,1,568111
1,1,1111,4373,1,1,1,2,821,281,1947,1,251111
4,2,2511,13695,1,1,1,4,1281,1231,1961,2111,581111
3,2.5,3241,118366,2,1,1,4,3241,1,1991,1,651111
3,2.5,2461,118911,1,1,1,4,1861,611,1977,1,611111
2,1,1111,3885,1.5,1,1,4,1111,1,1916,1991,511111
2,1,821,2723,1,1,1,3,821,1,1921,2111,475111
5,2.5,2421,8561,1,1,2,3,1621,811,1978,1,352111
3,2.25,1771,8165,2,1,1,3,1771,1,1977,2114,421111
2,2,1351,3911,1,1,1,3,1351,1,2113,1,428111
3,1.75,1961,4788,1,1,1,4,1191,871,1921,1,599111
4,2.5,3315,16164,1.5,1,1,5,2245,1161,1922,1956,492111
2,2.25,2551,5663,1,1,1,3,1721,831,2111,1,631111
5,3.75,4131,226176,2,1,1,3,3171,961,1985,1,911111
4,1.5,2311,13311,1,1,1,3,1891,421,1951,2115,1111111
4,2,1651,5111,1,1,1,3,1651,1,1955,2115,575111
4,2.5,2651,4316,1.5,1,1,3,1521,1131,1915,2113,715111
4,2.25,1891,5941,1,1,1,3,1471,421,1963,2118,941111
3,1.75,2191,8111,1,1,1,4,2191,1,1967,1,313111
3,2.5,2131,6511,2,1,1,3,2131,1,1988,2111,618181
3,3,2271,5175,2,1,1,3,2131,141,2112,1,641111
3,2,1611,4161,1,1,1,4,1111,611,1917,1,485111
2,1,761,3111,1,1,1,3,761,1,1913,1983,311111
2,1,1641,17335,1,1,1,3,841,811,1978,1,379511
3,2.25,1631,12295,2,1,1,4,1631,1,1985,1,339951
6,2.5,3561,6481,2.5,1,1,4,3561,1,1914,1945,1511111
3,3,2961,5511,2,1,2,3,2441,521,1937,1991,1341111
3,2.5,1941,37565,1,1,1,4,1941,1,1987,1,511111
3,2,1411,7566,1,1,1,3,1411,1,1985,1,239911
3,1,1141,16986,1,1,1,4,1141,1,1968,1,314951
2,1,821,6411,1,1,1,4,821,1,1944,1,361281
2,1,911,22111,1,1,1,3,911,1,1956,2111,111111
7,5.75,3711,7647,2,1,1,3,3711,1,1948,1984,541111
4,2.5,2181,11211,1,1,1,4,2181,1,1968,1,481511
3,2.5,1611,4271,2,1,1,3,1611,1,2111,1,281111
3,1.75,1511,6181,1,1,1,4,1161,441,1947,1988,441111
3,1,1341,4284,1,1,1,3,1181,261,1911,2116,531111
3,2,1861,13374,1,1,1,3,1861,1,1985,1,561111
3,2,2541,7211,1.5,1,3,4,1611,941,1915,1,775111
2,1,1141,13111,1,1,1,5,1141,1,1912,1,161111
3,1.5,1381,11131,1,1,1,3,1381,1,1961,2112,219951
3,1.75,1641,11762,1,1,1,3,1131,511,1988,2111,226511
5,1.75,3111,6111,1,1,1,5,1511,1511,1958,1,381111
4,2.75,2141,13111,1,1,1,3,1321,821,1968,1997,419511
3,2,1761,6428,1,1,1,4,981,781,1942,1982,691111
3,2.25,1661,8317,1,1,1,4,1661,1,1961,2111,415111
3,2.5,1831,13142,2,1,1,3,1831,1,1991,2119,375111
4,2,2211,8556,1,1,1,4,1211,1111,1954,1979,794154
4,1,1491,6611,1,1,1,3,1491,1,1969,2111,185111
3,1.5,1261,1271,2,1,1,3,1141,221,2115,1,245111
5,4.5,4271,8176,2,1,1,3,3411,871,2117,1,1532511
4,3.5,3911,8391,2,1,1,3,3911,1,2116,1,1141111
2,2.5,1151,1127,3,1,1,3,1151,1,2118,1,425111
4,2.75,2656,21195,2,1,1,3,2656,1,2114,1,495111
5,2.75,2411,5113,1,1,1,3,1411,1111,2118,1,365111
3,2.25,1616,1452,3,1,1,3,1616,1,2119,1,417251
2,1,821,681,3,1,1,3,821,1,2116,1,339951
2,1,1541,6872,1,1,1,4,821,721,1946,1989,615111
3,2.75,2191,8354,2,1,1,3,2191,1,2112,1912,413111
5,2.5,3161,11471,1,1,1,4,1781,1381,1971,1,981111
4,1.75,1731,8321,1,1,1,3,1231,511,1977,2114,258111
3,1,1671,4181,1,1,1,3,1171,511,1967,2111,533111
4,2.5,2551,4631,2,1,1,3,2551,1,2115,1,537511
5,3,3141,9611,1,1,1,5,1971,1171,1968,1,831111
3,1,1251,4621,1.5,1,1,4,1151,111,1911,1971,712111
4,2.5,2121,6236,2,1,1,3,2121,1,2112,1,262111
4,2.5,2661,5511,2,1,2,3,2661,1,2113,1,753888
2,1.5,981,5111,2,1,1,3,981,1,1922,2113,134111
3,2.5,1961,8111,1,1,1,4,1291,671,1977,1,412111
2,1,721,5141,1,1,1,3,721,1,1955,2115,215111
2,2.5,1361,1349,2,1,1,3,1151,311,1997,1,553651
2,2,1871,4951,1,1,1,3,1871,1,2116,1,559951
4,1.5,2131,8811,1,1,1,3,1111,1131,1962,2113,261111
4,2.5,1811,6519,2,1,1,3,1811,1,1994,1,271111
2,1.75,2211,89298,1,1,1,3,1111,1111,1973,2113,295111
3,2.5,1691,4511,1.5,1,1,4,1691,1,1928,1,719111
3,2.5,1941,8547,1,1,1,3,1461,481,1989,1,266111
4,2.5,2321,6271,2,1,1,3,2321,1,2114,2113,325911
4,1.75,2161,26136,1,1,1,4,1161,911,1947,1988,647511
4,1,3411,5111,2,1,1,5,2191,1221,1911,1,1139111
4,2.25,2251,41688,2,1,1,3,2251,1,1981,1,569111
3,1.75,1391,7399,1,1,1,4,1391,1,1975,1,246111
2,1,1161,4961,1,1,1,3,1161,1,1926,2113,515111
3,1,1491,8995,1,1,1,4,1491,1,1954,1979,217111
4,1.75,2481,9195,1,1,1,3,1391,1191,1951,2115,781111
5,2.25,2441,21828,1.5,1,1,4,2441,1,1975,1,489991
3,1.5,2241,87625,1.5,1,1,2,1481,761,1981,1,335111
3,2.5,1921,7229,2,1,1,3,1921,1,1993,1,295111
3,1.75,1891,9921,1,1,1,3,1231,661,1944,1,385111
4,1.75,2251,13515,1,1,1,4,2151,111,1941,2111,351111
2,1,1271,3118,1,1,1,4,651,621,1923,1,235111
2,1.5,961,1818,2,1,1,3,961,1,1993,1,358111
4,2.5,3291,6465,2,1,1,3,3291,1,2112,1,716511
4,1.75,2111,6121,1,1,1,3,1111,911,1965,1993,228111
2,1,1121,8155,1,1,1,4,1121,1,1948,1,415111
4,1.75,1841,9611,1,1,1,3,1221,621,1967,2111,538111
3,1.75,1981,6761,1,1,1,4,1981,1,1973,1,531111
6,3,3511,5761,2.5,1,1,4,3511,1,1916,1991,1751111
2,1.75,1231,3611,1.5,1,1,5,1231,1,1925,1,636111
4,2.5,2281,65836,2,1,1,3,2281,1,2114,2113,535111
3,1.75,2431,12757,1,1,2,4,1341,1191,1952,1,1511111
3,2.5,2921,3942,3,1,1,3,2921,1,2118,1,868511
4,2.75,2281,2851,1.5,1,1,4,1541,741,1931,1,531111
3,2,1511,43561,1,1,1,3,1511,1,1954,2115,451111
3,1.75,951,6111,1,1,1,3,791,161,1939,1969,231111
3,2.5,1191,3111,2,1,1,3,1191,1,2112,1,229111
3,1.75,1311,9282,1,1,1,4,1311,1,1976,1992,437111
5,3.25,2811,3211,1.5,1,1,5,1911,891,1932,2112,1317111
3,2.5,1751,3354,2,1,1,4,1751,1,1991,1,595111
3,1.75,1321,5751,1.5,1,1,5,1321,1,1918,1,661111
4,2.5,2461,7351,2,1,1,3,2461,1,1989,1,347511
3,2,1241,11811,1,1,1,3,1241,1,1967,2111,297951
3,1.5,1261,7964,1,1,1,4,1261,1,1955,2119,245111
6,2.25,2821,15611,1.5,1,2,5,1971,851,1941,1,543211
4,3.25,3821,24166,2,1,1,4,3311,511,1991,1,1251111
3,2.5,1541,1614,3,1,1,3,1471,71,2118,1,413451
2,2,1551,435611,1.5,1,1,2,1551,1,1972,1,331111
3,1.75,1461,7711,1,1,1,3,1461,1,1979,2114,424511
3,1,1391,16111,1,1,1,4,1391,1,1961,2111,231111
3,3.25,2641,4181,2,1,1,3,1841,811,1912,2111,931111
3,1.75,1591,9621,1,1,1,3,1591,1,1988,2111,349111
4,2,1911,6961,1.5,1,1,5,1911,1,1941,1,835111
3,2.75,2115,16817,2,1,4,3,2115,1,2117,1,988511
3,1.75,1411,1197,3,1,1,3,1411,1,2112,1912,511111
2,1.5,1111,957,2,1,1,3,931,181,2115,1,499111
2,1.25,861,1277,2,1,1,3,861,1,2117,1,321951
3,2.5,2311,4729,2,1,1,3,2311,1,2111,1,494111
2,1.5,1121,1161,3,1,1,3,1121,1,2118,1,441751
2,1,981,1179,2,1,1,3,981,1,2111,1,438111
4,2.25,4231,37769,2,1,1,3,4231,1,1989,1,985111
3,2.25,1641,11151,1,1,1,4,1641,1,1972,1,352111
4,3.5,3811,13592,1,1,1,3,2561,1251,2113,1923,839911
4,2.75,2791,11819,2,1,1,3,2791,1,1996,1,765111
4,1.75,1751,5511,1.5,1,1,5,1151,711,1926,1,461111
4,1,1431,8355,1.5,1,1,4,1431,1,1983,1,224511
3,2.5,1851,4597,2,1,1,3,1851,1,2113,1,254111
2,1,961,28717,1,1,1,4,961,1,1984,1,255111
3,3,2481,45312,1,1,1,4,1621,861,1976,1992,611111
4,3,3751,11125,2,1,1,3,3751,1,1976,1,921111
4,2.5,2611,11951,2,1,1,3,2611,1,1988,2111,412511
3,1.75,1391,8711,1,1,3,4,841,551,1912,1989,281951
4,2.5,2261,7753,2,1,1,3,2261,1,1989,1,614111
4,2.25,2471,7447,2,1,1,3,2471,1,1984,1,565111
2,1,811,7981,1,1,1,1,811,1,1928,1,255111
4,2,1651,6111,1,1,1,5,1111,651,1959,1,445111
3,2.25,3111,11665,1.5,1,4,3,3111,1,2111,1,2411111
2,1,721,18111,1,1,1,3,721,1,1951,2115,195111
3,1.5,1391,48257,1,1,1,3,1391,1,1922,2113,275111
3,2.25,1445,1616,2,1,1,3,1311,145,2113,1,387111
2,1,1841,3311,1.5,1,1,4,1131,711,1911,1,491111
3,2.5,2111,5824,2,1,2,3,2111,1,1999,1,515111
3,1.5,1161,11464,1,1,1,4,1161,1,1973,1,313511
3,1.5,1511,6337,1,1,1,5,1511,1,1953,1,271111
4,2.75,1971,7213,1,1,1,3,1171,811,1977,2114,323111
3,3.25,1411,1253,3,1,1,3,1411,1,2115,1,382111
4,2.75,3721,9451,1,1,4,5,1961,1761,1962,1,1371111
4,2,2191,14439,1,1,1,4,1181,1111,1977,1,281111
3,2,1921,8175,1,1,1,4,1511,411,1969,1,261111
3,1,1161,8321,1,1,1,4,1161,1,1959,1,211511
4,4.25,5861,52889,2,1,1,4,4911,951,1996,1,1157211
